,Property,Appliances,InstantHotWater,,Appliances,InstantHotWater,The property has a circulatory or instant hot water system.,Yes,Yes,
,Property,Appliances,Microwave,,Appliances,Microwave,The property includes a microwave.,Yes,Yes,
,Property,Appliances,None,,Appliances,None,The property includes no appliances.,Yes,Yes,
,Property,Appliances,Other,,Appliances,Other,The property includes appliances other than those available on this list.,Yes,Yes,
,Property,Appliances,Oven,,Appliances,Oven,The property includes an oven.,Yes,Yes,
,Property,Appliances,PlumbedForIceMaker,,Appliances,PlumbedForIceMaker,The property has plumbing for an ice maker.,Yes,Yes,
,Property,Appliances,PortableDishwasher,,Appliances,PortableDishwasher,The property includes a portable dishwasher.,Yes,Yes,
,Property,Appliances,PropaneCooktop,,Appliances,PropaneCooktop,The gas cooktop uses propane as its fuel and either has a local tank or runs on a housewide propane system.,Yes,Yes,
,Property,Appliances,Range,,Appliances,Range,"The property includes a range, which is a single unit that has both an oven and a cooktop.",Yes,Yes,
,Property,Appliances,RangeHood,,Appliances,RangeHood,The range has a hooded exhaust.,Yes,Yes,
,Property,Appliances,Refrigerator,,Appliances,Refrigerator,The property includes a refrigerator.,Yes,Yes,
,Property,Appliances,SelfCleaningOven,,Appliances,SelfCleaningOven,The oven included with the property has a self-cleaning feature.,Yes,Yes,
,Property,Appliances,SolarHotWater,,Appliances,SolarHotWater,The hot water heater has either a passive or active solar component.,Yes,Yes,
,Property,Appliances,StainlessSteelAppliances,,Appliances,StainlessSteelAppliances,Some or all of the appliances included in the property are stainless steal.,Yes,Yes,
,Property,Appliances,TanklessWaterHeater,,Appliances,TanklessWaterHeater,A tankless water heater is included with the property.,Yes,Yes,
,Property,Appliances,TrashCompactor,,Appliances,TrashCompactor,The property has a trash compactor.,Yes,Yes,
,Property,Appliances,VentedExhaustFan,,Appliances,VentedExhaustFan,The cooktop has an exhaust fan that is vented.,Yes,Yes,
,Property,Appliances,WarmingDrawer,,Appliances,WarmingDrawer,The property has a warming drawer.,Yes,Yes,
,Property,Appliances,Washer,,Appliances,Washer,The property includes a cloths washer.,Yes,Yes,
,Property,Appliances,WasherDryer,,Appliances,WasherDryer,The property includes a clothes washer and dryer.,Yes,Yes,
,Property,Appliances,WasherDryerStacked,,Appliances,WasherDryerStacked,The property has a stacked clothes washer and dryer.,Yes,Yes,
,Property,Appliances,WasherDryerAllowed,,Appliances,WasherDryerAllowed,The landlord of the unit listing permits tenants to add their own washer dryer.,Yes,Yes,
,Property,Appliances,WaterHeater,,Appliances,WaterHeater,The property has a water heater.,Yes,Yes,
,Property,Appliances,WaterPurifier,,Appliances,WaterPurifier,The property has a water purifier.,Yes,Yes,
,Property,Appliances,WaterSoftener,,Appliances,WaterSoftener,The property has a water-softening system.,Yes,Yes,
,Property,Appliances,WaterPurifierOwned,,Appliances,WaterPurifierOwned,The property has a water purifier that is owned and not rented/leased.,Yes,Yes,
,Property,Appliances,WaterPurifierRented,,Appliances,WaterPurifierRented,The property has a water purifier that is on a rental or lease agreement.,Yes,Yes,
,Property,Appliances,WaterSoftenerOwned,,Appliances,WaterSoftenerOwned,The property has a water-softening system that is owned and not rented/leased.,Yes,Yes,
,Property,Appliances,WaterSoftenerRented,,Appliances,WaterSoftenerRented,The property has a water-softening system that is on a rental or lease agreement.,Yes,Yes,
,Property,Appliances,WineCooler,,Appliances,WineCooler,The property includes a wine cooler.,Yes,Yes,
,Property,Appliances,WineRefrigerator,,Appliances,WineRefrigerator,The property includes a wine refrigerator.,Yes,Yes,
,Property,ArchitecturalStyle,ArtDeco,,ArchitecturalStyle,ArtDeco,"Art Deco buildings have a sleek, linear appearance with stylized, often geometric ornamentation. The primary façade of Art Deco buildings often feature a series of set backs that create a stepped outline. Low-relief decorative panels can be found at entrances, around windows, along roof edges or as string courses.",Yes,Yes,
,Property,ArchitecturalStyle,ArtNouveau,,ArchitecturalStyle,ArtNouveau,The Art Nouveau movement is a decorative style of art and architecture that embraced organic and natural forms to reject the mass-produced aesthetic of the Industrial Revolution. Art Nouveau style was popular from 1890 to 1910 throughout Europe and the United States.,Yes,Yes,
,Property,ArchitecturalStyle,BeauxArts,,ArchitecturalStyle,BeauxArts,"Beaux-Arts architecture was the academic architectural style taught at the École des Beaux-Arts in Paris, particularly from the 1830s to the end of the 19th century.",Yes,Yes,
,Property,ArchitecturalStyle,Brownstone,,ArchitecturalStyle,Brownstone,"A type of townhouse in New York City that's built from brownstone, a reddish-brown sandstone, and is known for its stately design and elegant carvings",Yes,Yes,
,Property,ArchitecturalStyle,Brutalist,,ArchitecturalStyle,Brutalist,"The style commonly makes use of exposed, unpainted concrete or brick, angular geometric shapes and a predominantly monochrome colour palette; other materials, such as steel, timber, and glass, are also featured.",Yes,Yes,
,Property,ArchitecturalStyle,CastIron,,ArchitecturalStyle,CastIron,"Cast-iron architecture is the use of cast iron in buildings and objects, ranging from bridges and markets to warehouses, balconies and fences.",Yes,Yes,
,Property,ArchitecturalStyle,Colonial,,ArchitecturalStyle,Colonial,"American Colonial homes are generally characterized by a square or rectangular facade, a central entrance and windows symmetrically placed on either side of the entrance. They are typically made of wood, stone or brick and will generally have uniformly sized doors and windows with shutters.",Yes,Yes,
,Property,ArchitecturalStyle,ContemporaryClassicism,,ArchitecturalStyle,ContemporaryClassicism,Contemporary Classical architecture is a contemporary movement in architecture that continues the practice of Classical architecture.,Yes,Yes,
,Property,ArchitecturalStyle,ContemporaryModern,,ArchitecturalStyle,ContemporaryModern,"Contemporary Modern may include elements of Modernism, sustainability, and new technological and engineering advancements.",Yes,Yes,
,Property,ArchitecturalStyle,Eclectic,,ArchitecturalStyle,Eclectic,"Eclecticism is an architectural style that flourished in the 19th and 20th-centuries. It refers to any design that incorporates elements of traditional motifs and styles, decorative aesthetics and ornaments, structural features, and so on, that originated from other cultures or architectural periods.",Yes,Yes,
,Property,ArchitecturalStyle,Federal,,ArchitecturalStyle,Federal,"A structure designed in the Federal style was usually square or rectangle-shaped with a hipped roof. Contrary to the exterior of the building, the interior rooms were often shaped octagonally.",Yes,Yes,
,Property,ArchitecturalStyle,GothicRevival,,ArchitecturalStyle,GothicRevival,"Gothic Revival style is the pointed arch, used for windows, doors, and decorative elements like porches, dormers, or roof gables. Other characteristic details include steeply pitched roofs and front facing gables with delicate wooden trim called vergeboards or bargeboards.",Yes,Yes,
,Property,ArchitecturalStyle,GreekRevival,,ArchitecturalStyle,GreekRevival,"Greek revival structures reflect the symmetry of ancient Greek structures and often resemble Greek temples. Common characteristics include columns or pilasters (square columns), often used on a portico, a covered entrance porch that might be small or run the entire length of a building's front.",Yes,Yes,
,Property,ArchitecturalStyle,International,,ArchitecturalStyle,International,"Flat roofed, asymmetrical and with bands of windows set into a rectangular form, International style buildings were a dramatic departure from past eras. Many European architects came to the United States in the period preceding World War II, bringing their new ideas about modern design with them.",Yes,Yes,
,Property,ArchitecturalStyle,Italianate,,ArchitecturalStyle,Italianate,"Italianate architecture is a style that originated in Italy in the 16th century and was popularized in the United States in the mid-19th century. Italianate architecture is known for its symmetry, low-pitched roofs, ornate decorative details, round-arched windows, and classical influences.",Yes,Yes,
,Property,ArchitecturalStyle,NeoColonial,,ArchitecturalStyle,NeoColonial,Neo-colonial architecture freely combine an assortment of historic styles using modern materials like vinyl and simulated stone.,Yes,Yes,
,Property,ArchitecturalStyle,NeoGeorgian,,ArchitecturalStyle,NeoGeorgian,"This enduring architectural style favours formality, symmetry and interiors that celebrate craftsmanship and natural light. The period spanning between 1714 and 1830 is when four British Kings – all named George – reigned in continuous succession.",Yes,Yes,
,Property,ArchitecturalStyle,NeoGrec,,ArchitecturalStyle,NeoGrec,"Neo-Grec was a Neoclassical Revival style of the mid-to-late 19th century that was popularized in architecture, the decorative arts, and in painting during France's Second Empire, or the reign of Napoleon III (1852–1870).",Yes,Yes,
,Property,ArchitecturalStyle,PostModernism,,ArchitecturalStyle,PostModernism,"Post-modernism is an eclectic, colourful style of architecture and the decorative arts that appeared from the late 1970s and continues in some form today. It emerged as a reaction to Modernism and the Modern Movement and the dogmas associated with it.",Yes,Yes,
,Property,ArchitecturalStyle,Prewar,,ArchitecturalStyle,Prewar,The building was built between 1900 and World War II.,Yes,Yes,
,Property,ArchitecturalStyle,QueenAnne,,ArchitecturalStyle,QueenAnne,"Queen Anne style architecture was one of a number of popular Victorian architectural styles that emerged in the United States during the period from roughly 1880 to 1910. Popular there during this time, it followed the Second Empire and Stick styles and preceded the Richardsonian Romanesque and Shingle styles.",Yes,Yes,
,Property,ArchitecturalStyle,ReniassanceRevival,,ArchitecturalStyle,ReniassanceRevival,Renaissance Revival architecture is a group of 19th-century architectural revival styles which were neither Greek Revival nor Gothic Revival but which instead drew inspiration from a wide range of classicizing Italian modes.,Yes,Yes,
,Property,ArchitecturalStyle,Romanesque,,ArchitecturalStyle,Romanesque,"Romanesque architecture is an architectural style of medieval Europe characterized by semi-circular arches. There is no consensus for the beginning date of the Romanesque style, with proposals ranging from the 6th to the 11th century, this later date being the most commonly held.",Yes,Yes,
,Property,ArchitecturalStyle,SecondEmpire,,ArchitecturalStyle,SecondEmpire,"Second Empire style, also known as the Napoleon III style, is a highly eclectic style of architecture and decorative arts, which uses elements of many different historical styles, and also made innovative use of modern materials, such as iron frameworks and glass skylights.",Yes,Yes,
,Property,AboveGradeFinishedAreaSource,Appraiser,,AreaSource,Appraiser,An appraiser provided the measurement of the area,Yes,Yes,
,Property,BelowGradeFinishedAreaSource,Appraiser,,AreaSource,Appraiser,An appraiser provided the measurement of the area,Yes,Yes,
,Property,BuildingAreaSource,Appraiser,,AreaSource,Appraiser,An appraiser provided the measurement of the area,Yes,Yes,
,Property,LivingAreaSource,Appraiser,,AreaSource,Appraiser,An appraiser provided the measurement of the area,Yes,Yes,
,Property,LotSizeSource,Appraiser,,AreaSource,Appraiser,An appraiser provided the measurement of the area,Yes,Yes,
,Property,AboveGradeFinishedAreaSource,Assessor,,AreaSource,Assessor,The assessor provided the measurement of the area.,Yes,Yes,
,Property,BelowGradeFinishedAreaSource,Assessor,,AreaSource,Assessor,The assessor provided the measurement of the area.,Yes,Yes,
,Property,BuildingAreaSource,Assessor,,AreaSource,Assessor,The assessor provided the measurement of the area.,Yes,Yes,
,Property,LivingAreaSource,Assessor,,AreaSource,Assessor,The assessor provided the measurement of the area.,Yes,Yes,
,Property,LotSizeSource,Assessor,,AreaSource,Assessor,The assessor provided the measurement of the area.,Yes,Yes,
,Property,AboveGradeFinishedAreaSource,Builder,,AreaSource,Builder,The builder provided the measurement of the area.,Yes,Yes,
,Property,BelowGradeFinishedAreaSource,Builder,,AreaSource,Builder,The builder provided the measurement of the area.,Yes,Yes,
,Property,BuildingAreaSource,Builder,,AreaSource,Builder,The builder provided the measurement of the area.,Yes,Yes,
,Property,LivingAreaSource,Builder,,AreaSource,Builder,The builder provided the measurement of the area.,Yes,Yes,
,Property,LotSizeSource,Builder,,AreaSource,Builder,The builder provided the measurement of the area.,Yes,Yes,
,Property,AboveGradeFinishedAreaSource,Estimated,,AreaSource,Estimated,The measurement of the area is an estimate.,Yes,Yes,
,Property,BelowGradeFinishedAreaSource,Estimated,,AreaSource,Estimated,The measurement of the area is an estimate.,Yes,Yes,
,Property,BuildingAreaSource,Estimated,,AreaSource,Estimated,The measurement of the area is an estimate.,Yes,Yes,
,Property,LivingAreaSource,Estimated,,AreaSource,Estimated,The measurement of the area is an estimate.,Yes,Yes,
,Property,LotSizeSource,Estimated,,AreaSource,Estimated,The measurement of the area is an estimate.,Yes,Yes,
,Property,AboveGradeFinishedAreaSource,Other,,AreaSource,Other,The measurement of the area was provided by another party not listed.,Yes,Yes,
,Property,BelowGradeFinishedAreaSource,Other,,AreaSource,Other,The measurement of the area was provided by another party not listed.,Yes,Yes,
,Property,BuildingAreaSource,Other,,AreaSource,Other,The measurement of the area was provided by another party not listed.,Yes,Yes,
,Property,LivingAreaSource,Other,,AreaSource,Other,The measurement of the area was provided by another party not listed.,Yes,Yes,
,Property,LotSizeSource,Other,,AreaSource,Other,The measurement of the area was provided by another party not listed.,Yes,Yes,
